Erwerber,Jahr,Bezirk,"Median-Preis (gesamt, €)","Median-Preis (relativ, €)",Anzahl Transaktionen,Gesamt-Volumen (€),bez_num
Unternehmen,1987,1. Innere Stadt ,1580634.5,2231.9,10,26071900.1,1
Unternehmen,1987,10. Favoriten ,283424.1,198.2,11,4801313.2,10
Unternehmen,1987,11. Simmering ,1652652.8,162.48,2,3305305.6,11
Unternehmen,1987,12. Meidling ,203483.9,215.37,13,12495149.61,12
Unternehmen,1987,13. Hietzing ,363364.2,222.95,4,1802286.3,13
Unternehmen,1987,14. Penzing ,203483.9,148.04,9,3533120.58,14
Unternehmen,1987,15. Rudolfsheim-Fünfhaus ,134444.8,254.1,5,1519055,15
Unternehmen,1987,16. Ottakring ,195178.7,341.65,11,3580539.7,16
Unternehmen,1987,17. Hernals ,130811.1,246.53,6,991984.25,17
Unternehmen,1987,18. Währing ,208571,316.52,11,2860548.1,18
Unternehmen,1987,19. Döbling ,438871.3,319.59,11,12851118.52,19
Unternehmen,1987,2. Leopoldstadt ,156246.6,300.3,5,1615742.03,2
Unternehmen,1987,20. Brigittenau ,122272.06,162.88,4,666879.4311,20
Unternehmen,1987,21. Floridsdorf ,345295.9,113.63,8,3108707.483,21
Unternehmen,1987,22. Donaustadt ,82629.02,65.45,11,2401030.06,22
Unternehmen,1987,23. Liesing ,317857.9,66.2,45,23056563.61,23
Unternehmen,1987,3. Landstraße ,327027.8,369.62,20,27438410.03,3
Unternehmen,1987,4. Wieden ,1010152,1241.56,9,49163686.1,4
Unternehmen,1987,5. Margareten ,94474.69,212.96,5,541412.61,5
Unternehmen,1987,6. Mariahilf ,690391.9,497.3,7,5817533.2,6
Unternehmen,1987,7. Neubau ,683124.6,468.06,15,29872238.13,7
Unternehmen,1987,8. Josefstadt ,404809.5,525.73,3,1353359.3,8
Unternehmen,1987,9. Alsergrund ,623475,492.06,9,6098217.9,9
Unternehmen,1988,1. Innere Stadt ,2386576,3706.85,10,94133120,1
Unternehmen,1988,10. Favoriten ,167147.5,312.65,27,22147807.84,10
Unternehmen,1988,11. Simmering ,179650.9,76.31,16,6681010.3,11
Unternehmen,1988,12. Meidling ,253439.2,185.11,17,5983437.135,12
Unternehmen,1988,13. Hietzing ,370631.45,339.93,18,12079579.14,13
Unternehmen,1988,14. Penzing ,267072.65,244.88,20,7359873.16,14
Unternehmen,1988,15. Rudolfsheim-Fünfhaus ,174414.8,341.81,27,10395866.74,15
Unternehmen,1988,16. Ottakring ,235278.3,290.69,33,10527375.07,16
Unternehmen,1988,17. Hernals ,232553.05,340.63,16,6800446.94,17
Unternehmen,1988,18. Währing ,239820.4,417.81,21,9713451.12,18
Unternehmen,1988,19. Döbling ,327027.8,345.77,33,17236451.6,19
Unternehmen,1988,2. Leopoldstadt ,276156.75,428.71,40,27965732.45,2
Unternehmen,1988,20. Brigittenau ,190110.7,280.28,14,3291963.94,20
Unternehmen,1988,21. Floridsdorf ,80811.76,110.96,15,3785624.9699999997,21
Unternehmen,1988,22. Donaustadt ,150374.6,65.41,21,4169144.542,22
Unternehmen,1988,23. Liesing ,265255.85,129.55,60,36350191.46,23
Unternehmen,1988,3. Landstraße ,218018.5,292.41,29,19028112.68,3
Unternehmen,1988,4. Wieden ,908410.4,865.15,17,18781507.39,4
Unternehmen,1988,5. Margareten ,181682.1,330.13,16,3947514.27,5
Unternehmen,1988,6. Mariahilf ,276156.75,480.37,18,8653154.71,6
Unternehmen,1988,7. Neubau ,697659.2,700.79,21,16448769.23,7
Unternehmen,1988,8. Josefstadt ,328844.55,495.96,10,4100928.09,8
Unternehmen,1988,9. Alsergrund ,327027.8,430.2,18,9527045.74,9
Unternehmen,1989,1. Innere Stadt ,2820066.5,2853.24,8,36683102.5,1
Unternehmen,1989,10. Favoriten ,201848.8,266.88,28,9982973.21,10
Unternehmen,1989,11. Simmering ,218018.5,203.99,21,13007696.79,11
Unternehmen,1989,12. Meidling ,262214.5,326.82,25,10542618.27,12
Unternehmen,1989,13. Hietzing ,254354.9,359.04,9,3216393.78,13
Unternehmen,1989,14. Penzing ,207117.55,300.19,30,9866109.559,14
Unternehmen,1989,15. Rudolfsheim-Fünfhaus ,291054.7,431.15,22,7252458.19,15
Unternehmen,1989,16. Ottakring ,156246.6,322.74,38,7840986.33,16
Unternehmen,1989,17. Hernals ,245634.2,242.24,15,8282449.93,17
Unternehmen,1989,18. Währing ,201667.15,329.95,24,7147191.9,18
Unternehmen,1989,19. Döbling ,472373.4,351.08,43,29234486.81,19
Unternehmen,1989,2. Leopoldstadt ,218018.5,304.32,37,20119955.533,2
Unternehmen,1989,20. Brigittenau ,163513.9,287.24,19,4584954.97,20
Unternehmen,1989,21. Floridsdorf ,136988.3,99.19,16,6642052.65,21
Unternehmen,1989,22. Donaustadt ,145710.05,69.77,30,9305574.983000001,22
Unternehmen,1989,23. Liesing ,307024.6,121.04,57,46171476.77,23
Unternehmen,1989,3. Landstraße ,377898.75,549.17,42,53888265.42,3
Unternehmen,1989,4. Wieden ,606866.6,764.32,21,46106040.6856,4
Unternehmen,1989,5. Margareten ,226339.55,496.59,22,8818049.540000001,5
Unternehmen,1989,6. Mariahilf ,347703.9,561.8,16,5842722.59,6
Unternehmen,1989,7. Neubau ,581382.7,759.27,19,14846993.53,7
Unternehmen,1989,8. Josefstadt ,654055.5,828.26,9,7921338.8,8
Unternehmen,1989,9. Alsergrund ,421502.4,613.9,21,20274636.829,9
Unternehmen,1990,1. Innere Stadt ,3510098,5130.68,25,221189071.9,1
Unternehmen,1990,10. Favoriten ,280396.85,496.58,60,56893959.64,10
Unternehmen,1990,11. Simmering ,345232.35,280.47,26,13652582.36,11
Unternehmen,1990,12. Meidling ,232553.1,387.82,23,15455868.73,12
Unternehmen,1990,13. Hietzing ,363364.2,445.46,23,16314986.72,13
Unternehmen,1990,14. Penzing ,392433.3,423.58,48,26599279.89,14
Unternehmen,1990,15. Rudolfsheim-Fünfhaus ,276156.8,481.37,58,56868625.08,15
Unternehmen,1990,16. Ottakring ,218018.5,393.98,60,18742058.948,16
Unternehmen,1990,17. Hernals ,265255.8,427.9,49,21688989.68,17
Unternehmen,1990,18. Währing ,307406.1,600.2,50,21117086.39,18
Unternehmen,1990,19. Döbling ,530511.7,518.03,41,45428707.41,19
Unternehmen,1990,2. Leopoldstadt ,312493.2,564.1,52,63435321.36,2
Unternehmen,1990,20. Brigittenau ,276156.8,543.15,25,22352057.43,20
Unternehmen,1990,21. Floridsdorf ,225285.8,184.71,20,11043855.11,21
Unternehmen,1990,22. Donaustadt ,174414.8,87.21,49,26908334.513,22
Unternehmen,1990,23. Liesing ,256898.45,139.35,40,21007211.73,23
Unternehmen,1990,3. Landstraße ,566848.1,700.68,45,30684927.28,3
Unternehmen,1990,4. Wieden ,690391.9,953.09,9,8814799.7,4
Unternehmen,1990,5. Margareten ,383712.6,757.01,51,31903011.8,5
Unternehmen,1990,6. Mariahilf ,635887.3,1183.11,24,31758756,6
Unternehmen,1990,7. Neubau ,541412.65,859.23,40,32133564.1,7
Unternehmen,1990,8. Josefstadt ,508709.8,989.71,17,11627799.9,8
Unternehmen,1990,9. Alsergrund ,527604.8,1035.31,45,33918099.2,9
Unternehmen,1991,1. Innere Stadt ,3875642.5,5359.64,20,114999969,1
Unternehmen,1991,10. Favoriten ,318359.35,504.84,50,25850624.54,10
Unternehmen,1991,11. Simmering ,399700.6,157.98,31,28674536.11,11
Unternehmen,1991,12. Meidling ,335452.35,541.21,32,16988500.75,12
Unternehmen,1991,13. Hietzing ,325210.95,407.67,18,12238432.66,13
Unternehmen,1991,14. Penzing ,342434.4,425.7,41,31641918.031,14
Unternehmen,1991,15. Rudolfsheim-Fünfhaus ,350864.45,721.41,32,15245434.754,15
Unternehmen,1991,16. Ottakring ,277973.6,523.12,56,25747090.94,16
Unternehmen,1991,17. Hernals ,268889.5,476.33,30,9641248.76,17
Unternehmen,1991,18. Währing ,505076.2,701.6,48,32148460.91,18
Unternehmen,1991,19. Döbling ,654055.5,661.61,36,29228366.007,19
Unternehmen,1991,2. Leopoldstadt ,363364.2,592.81,30,20406480.38,2
Unternehmen,1991,20. Brigittenau ,327027.8,470.37,29,55990804.41,20
Unternehmen,1991,21. Floridsdorf ,321940.7,130.49,21,13818841.42,21
Unternehmen,1991,22. Donaustadt ,236186.7,124.12,82,55097332.303,22
Unternehmen,1991,23. Liesing ,334927.3,220.21,69,42230419.223,23
Unternehmen,1991,3. Landstraße ,436037,867.42,41,47153515.29,3
Unternehmen,1991,4. Wieden ,466453.3,1112.78,17,14756743.94,4
Unternehmen,1991,5. Margareten ,377898.8,981.26,44,19301016,5
Unternehmen,1991,6. Mariahilf ,763064.8,1090.09,29,54504509.75,6
Unternehmen,1991,7. Neubau ,726728.3,1298.79,21,32084984.6,7
Unternehmen,1991,8. Josefstadt ,675857.4,1225.67,7,5140440.4,8
Unternehmen,1991,9. Alsergrund ,755797.5,1259.77,31,41369970.4,9
Unternehmen,1992,1. Innere Stadt ,4215025,5142.8,17,144880057.342,1
Unternehmen,1992,10. Favoriten ,315327.4,562.55,32,15922363.69,10
Unternehmen,1992,11. Simmering ,257988.6,142.69,17,6727085.19,11
Unternehmen,1992,12. Meidling ,436037,631.94,19,27986113.34,12
Unternehmen,1992,13. Hietzing ,476915.45,432.24,16,12816233.94,13
Unternehmen,1992,14. Penzing ,254354.9,414.8,35,13088384.687,14
Unternehmen,1992,15. Rudolfsheim-Fünfhaus ,466923,619.19,23,16852360.2,15
Unternehmen,1992,16. Ottakring ,336075.55,649.93,36,16303738.2,16
Unternehmen,1992,17. Hernals ,465106.1,598.06,19,15259986.5,17
Unternehmen,1992,18. Währing ,496355.5,898.53,26,13746642.84,18
Unternehmen,1992,19. Döbling ,763064.8,793.76,37,52979937.783,19
Unternehmen,1992,2. Leopoldstadt ,535962.15,963.55,14,24720540.5,2
Unternehmen,1992,20. Brigittenau ,254354.9,545.05,25,34999790.82,20
Unternehmen,1992,21. Floridsdorf ,410612.4,127.18,16,11615415.4,21
Unternehmen,1992,22. Donaustadt ,272523.1,159.77,51,22369721.348,22
Unternehmen,1992,23. Liesing ,370631.5,250.56,56,49912228.273,23
Unternehmen,1992,3. Landstraße ,472373.4,859.68,41,46774166.63,3
Unternehmen,1992,4. Wieden ,2325531,3097.8,9,17456015.2,4
Unternehmen,1992,5. Margareten ,363364.2,853.24,13,5254246.22,5
Unternehmen,1992,6. Mariahilf ,690391.9,1019.67,15,19146188,6
Unternehmen,1992,7. Neubau ,581382.7,776.66,17,14682397.2,7
Unternehmen,1992,8. Josefstadt ,599550.85,1638.9,6,6017311.1,8
Unternehmen,1992,9. Alsergrund ,606818.2,1224.4,22,21370538.4,9
Unternehmen,1993,1. Innere Stadt ,4451211,4859.4,9,46302980.9,1
Unternehmen,1993,10. Favoriten ,359686.9,386.08,24,14267827.09,10
Unternehmen,1993,11. Simmering ,426135.35,226.5,18,11964744.7044,11
Unternehmen,1993,12. Meidling ,357913.75,357.67,14,6794401.55,12
Unternehmen,1993,13. Hietzing ,564086.55,600.12,26,30713591,13
Unternehmen,1993,14. Penzing ,472373.4,558.87,24,19887794.46,14
Unternehmen,1993,15. Rudolfsheim-Fünfhaus ,490541.6,832.92,20,13575284.7,15
Unternehmen,1993,16. Ottakring ,377898.8,704.48,29,13336213.9,16
Unternehmen,1993,17. Hernals ,639520.9,942.37,11,9521013.4,17
Unternehmen,1993,18. Währing ,581382.7,947.45,23,18031583.6,18
Unternehmen,1993,19. Döbling ,690391.9,692.56,27,25673851.63,19
Unternehmen,1993,2. Leopoldstadt ,476007.05,991.52,12,10403814.9,2
Unternehmen,1993,20. Brigittenau ,361547.35,529.74,14,4823514.14,20
Unternehmen,1993,21. Floridsdorf ,474117.6,263.19,16,15617782.04,21
Unternehmen,1993,22. Donaustadt ,283424.05,180.68,54,31384421.426,22
Unternehmen,1993,23. Liesing ,341562.3,308.5,51,36076862.93,23
Unternehmen,1993,3. Landstraße ,799401.2,899.49,21,22574036.3,3
Unternehmen,1993,4. Wieden ,853905.8,1013.32,7,7017064.6,4
Unternehmen,1993,5. Margareten ,508709.8,818.85,19,15956048,5
Unternehmen,1993,6. Mariahilf ,3560969,3467.53,4,19948697.1,6
Unternehmen,1993,7. Neubau ,944746.9,1096.92,18,25206618.7,7
Unternehmen,1993,8. Josefstadt ,639520.9,966.39,13,10048618.1,8
Unternehmen,1993,9. Alsergrund ,839371.25,1401.47,16,15765354.6,9
Unternehmen,1994,1. Innere Stadt ,3851660,6182.44,11,68696979.4,1
Unternehmen,1994,10. Favoriten ,588650,404.47,26,22795858.135,10
Unternehmen,1994,11. Simmering ,410601.5,215.33,21,20727795.39,11
Unternehmen,1994,12. Meidling ,381532.4,715.87,28,28860177.72,12
Unternehmen,1994,13. Hietzing ,436037,498.74,11,7771996.6,13
Unternehmen,1994,14. Penzing ,414235.2,397.09,37,27223246.25,14
Unternehmen,1994,15. Rudolfsheim-Fünfhaus ,366997.8,621.56,24,15025849.53,15
Unternehmen,1994,16. Ottakring ,566848.1,680.97,23,23530373.87,16
Unternehmen,1994,17. Hernals ,799401.2,633.5,13,12828051.27284,17
Unternehmen,1994,18. Währing ,581382.7,904.88,21,17519603.79,18
Unternehmen,1994,19. Döbling ,1090093,727.06,21,43498834.77,19
Unternehmen,1994,2. Leopoldstadt ,494175.3,527.26,6,5277056.3,2
Unternehmen,1994,20. Brigittenau ,432403.35,532.36,14,19813669.999,20
Unternehmen,1994,21. Floridsdorf ,198033.5,291.74,20,9330490.49,21
Unternehmen,1994,22. Donaustadt ,167147.5,134.44,59,36098518.467,22
Unternehmen,1994,23. Liesing ,268889.5,259.55,31,24563126.53,23
Unternehmen,1994,3. Landstraße ,639520.9,1008.91,15,16344949.047,3
Unternehmen,1994,4. Wieden ,773057.3,1442.31,6,5971890.9,4
Unternehmen,1994,5. Margareten ,465106.15,981.33,16,9267734.1,5
Unternehmen,1994,6. Mariahilf ,944746.9,1713.31,11,16636991.7,6
Unternehmen,1994,7. Neubau ,565031.25,930.14,24,22976855.583,7
Unternehmen,1994,8. Josefstadt ,763064.8,1594.29,9,17235674.6,8
Unternehmen,1994,9. Alsergrund ,513070.2,868.53,14,10196725.8,9
Unternehmen,1995,1. Innere Stadt ,3706315,6527.5,11,51292484.6,1
Unternehmen,1995,10. Favoriten ,584798.3,334.79,24,14847604.93,10
Unternehmen,1995,11. Simmering ,426952.9,247.63,14,6611005.399,11
Unternehmen,1995,12. Meidling ,327027.8,537.69,27,20849637.93,12
Unternehmen,1995,13. Hietzing ,428769.7,516.59,17,7922792.4,13
Unternehmen,1995,14. Penzing ,572298.55,359.36,20,12189966.54,14
Unternehmen,1995,15. Rudolfsheim-Fünfhaus ,494175.25,932.69,18,17525782.2,15
Unternehmen,1995,16. Ottakring ,348829.6,663.68,19,11689859.26,16
Unternehmen,1995,17. Hernals ,116276.5,387.28,11,6254655.531,17
Unternehmen,1995,18. Währing ,726728.3,814.91,15,12877988.7,18
Unternehmen,1995,19. Döbling ,866623.6,712.31,22,22480833.361,19
Unternehmen,1995,2. Leopoldstadt ,337928.7,654.06,13,12901281.8,2
Unternehmen,1995,20. Brigittenau ,308859.5,625.96,9,3680588.3,20
Unternehmen,1995,21. Floridsdorf ,543456.3,257.79,14,33749716.883,21
Unternehmen,1995,22. Donaustadt ,363364.2,163.51,58,56719594.0501,22
Unternehmen,1995,23. Liesing ,550787.4,288.04,50,47350126.455,23
Unternehmen,1995,3. Landstraße ,363364.2,789.92,13,12591845.89,3
Unternehmen,1995,4. Wieden ,984716.85,1395.65,16,16868310.9,4
Unternehmen,1995,5. Margareten ,436037,724.8,13,8078443.3,5
Unternehmen,1995,6. Mariahilf ,581382.7,1518.65,8,13764235.9,6
Unternehmen,1995,7. Neubau ,726728.3,873.91,11,18742687.6,7
Unternehmen,1995,8. Josefstadt ,726728.3,1900.87,3,2412738.4,8
Unternehmen,1995,9. Alsergrund ,577749.05,1105.76,6,4344381.87,9
Unternehmen,1996,1. Innere Stadt ,3110397,4884.44,6,27242329,1
Unternehmen,1996,10. Favoriten ,501442.6,482.65,23,25733451.71,10
Unternehmen,1996,11. Simmering ,507220,199.85,27,39799908.117,11
Unternehmen,1996,12. Meidling ,465106.1,707.09,23,17065856.12,12
Unternehmen,1996,13. Hietzing ,412418.35,507.86,12,8365800.68,13
Unternehmen,1996,14. Penzing ,336111.85,397.96,22,21339837.9,14
Unternehmen,1996,15. Rudolfsheim-Fünfhaus ,505076.2,843.88,25,20498463.7,15
Unternehmen,1996,16. Ottakring ,287057.7,568.62,19,7518877.18,16
Unternehmen,1996,17. Hernals ,337928.7,535.54,21,7830578.07,17
Unternehmen,1996,18. Währing ,363364.2,890.6,17,11806501.301,18
Unternehmen,1996,19. Döbling ,667863.4,726.73,25,17042653.092,19
Unternehmen,1996,2. Leopoldstadt ,554130.35,1174.44,16,74337187.7,2
Unternehmen,1996,20. Brigittenau ,617719.1,586.34,12,29821120.63,20
Unternehmen,1996,21. Floridsdorf ,252538.1,266.45,16,17295017.34,21
Unternehmen,1996,22. Donaustadt ,334295.05,145.35,54,45483663.86,22
Unternehmen,1996,23. Liesing ,732047.8,272.14,28,55765624.877,23
Unternehmen,1996,3. Landstraße ,861173.1,910.49,26,56121229.63,3
Unternehmen,1996,4. Wieden ,1068291,1586.74,7,18971245.1,4
Unternehmen,1996,5. Margareten ,475775.2,867.64,16,16878166,5
Unternehmen,1996,6. Mariahilf ,486908,971.86,8,3659804,6
Unternehmen,1996,7. Neubau ,1235438.5,1238.91,12,23204437.4,7
Unternehmen,1996,8. Josefstadt ,1017419.95,1439.07,8,8397364.7,8
Unternehmen,1996,9. Alsergrund ,654055.5,1335.9,11,9685834.99,9
Unternehmen,1997,1. Innere Stadt ,9084104,7071.46,13,96800220,1
Unternehmen,1997,10. Favoriten ,274703.3,526.61,15,35192914.26,10
Unternehmen,1997,11. Simmering ,222218,188.95,6,1928259.19,11
Unternehmen,1997,12. Meidling ,370631.45,617.5,14,11001504.66,12
Unternehmen,1997,13. Hietzing ,1071924.5,516.7,8,7732027.1,13
Unternehmen,1997,14. Penzing ,327027.8,422.94,22,19104028.99,14
Unternehmen,1997,15. Rudolfsheim-Fünfhaus ,454205.2,653.86,20,12210950.9,15
Unternehmen,1997,16. Ottakring ,537779,838.74,19,17539590.383,16
Unternehmen,1997,17. Hernals ,270706.35,480.73,16,7224624.75,17
Unternehmen,1997,18. Währing ,508709.8,530.46,15,8425907.337,18
Unternehmen,1997,19. Döbling ,363364.2,564.57,19,21983881.48,19
Unternehmen,1997,2. Leopoldstadt ,668953.45,952.68,24,62160004.14,2
Unternehmen,1997,20. Brigittenau ,624986.4,1103.68,17,11167634.71,20
Unternehmen,1997,21. Floridsdorf ,239820.4,255.67,13,6920186.21,21
Unternehmen,1997,22. Donaustadt ,630989.1,207.12,54,57666533.831,22
Unternehmen,1997,23. Liesing ,381804.2,290.69,39,40841977.077,23
Unternehmen,1997,3. Landstraße ,690391.9,994.7,27,78304544.24,3
Unternehmen,1997,4. Wieden ,1465048,1814.26,10,26256985.8,4
Unternehmen,1997,5. Margareten ,545046.3,1121.49,15,12520440.2,5
