Jahr,Daten,Fitted,Vorhersage,Low80,High80,Low95,High95,Modell,Bezirk
1987,11,22.314227693593548,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1988,27,15.371838287999491,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1989,28,27.214718753539678,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1990,60,27.954898782635937,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1991,50,51.64065971371632,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1992,32,44.23885942275369,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1993,24,30.915618899020984,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1994,26,24.994178666250892,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1995,24,26.474538724443416,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1996,23,24.994178666250892,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1997,15,24.25399863715463,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1998,19,18.332558404384535,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
1999,18,21.293278520769583,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2000,19,20.553098491673325,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2001,10,21.293278520769583,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2002,15,14.63165825890323,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2003,13,18.332558404384535,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2004,25,16.852198346192015,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2005,25,25.734358695347154,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2006,19,25.734358695347154,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2007,25,21.293278520769583,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2008,11,25.734358695347154,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2009,14,15.371838287999491,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2010,22,17.592378375288277,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2011,22,23.51381860805837,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2012,19,23.51381860805837,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2013,25,21.293278520769583,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
2014,36,25.734358695347154,NA,NA,NA,NA,NA,"ARIMA (0,1,0)",10. Favoriten 
